tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
426.00;47442735#4_0;63.04;23.27;75.00;3.00;197551632#0_0;5.10;0.00;tripinfo_8.1;351.00;8.1;0;926.68;1.17;0.00;309.21;DEFAULT_VEHTYPE;;1;285.00
432.00;47442735#4_0;63.04;21.89;78.00;6.00;197551632#0_0;5.10;0.00;tripinfo_8.2;354.00;8.2;0;926.68;0.99;0.00;304.16;DEFAULT_VEHTYPE;;1;284.00
434.00;47442735#4_0;63.04;21.60;81.00;9.00;197551632#0_0;5.10;0.00;tripinfo_8.3;353.00;8.3;0;926.68;1.02;0.00;304.06;DEFAULT_VEHTYPE;;1;282.00
438.00;47442735#4_0;63.04;20.69;84.00;12.00;197551632#0_0;5.10;0.00;tripinfo_8.4;354.00;8.4;0;926.68;0.97;0.00;303.00;DEFAULT_VEHTYPE;;1;281.00
453.00;47442733_0;0.20;7.32;69.00;6.00;47442743#3_0;5.10;0.00;tripinfo_7.2;384.00;7.2;0;789.31;0.93;0.00;340.28;DEFAULT_VEHTYPE;;9;274.00
455.00;47442733_0;0.20;9.92;72.00;9.00;47442743#3_0;5.10;0.00;tripinfo_7.3;383.00;7.3;0;789.31;1.18;0.00;348.15;DEFAULT_VEHTYPE;;9;266.00
457.00;47442733_0;0.20;10.23;75.00;12.00;47442743#3_0;5.10;0.00;tripinfo_7.4;382.00;7.4;0;789.31;1.15;0.00;345.81;DEFAULT_VEHTYPE;;9;262.00
458.00;-170356124_0;590.44;11.97;87.00;6.00;491337027#0_0;5.10;0.00;tripinfo_9.2;371.00;9.2;0;1710.09;0.90;0.00;262.03;DEFAULT_VEHTYPE;;6;214.00
460.00;-170356124_0;590.44;14.11;90.00;9.00;491337027#0_0;5.10;0.00;tripinfo_9.3;370.00;9.3;0;1710.09;1.03;0.00;273.55;DEFAULT_VEHTYPE;;6;213.00
546.00;-170356124_0;590.44;12.67;93.00;12.00;491337027#0_0;5.10;0.00;tripinfo_9.4;453.00;9.4;0;1710.09;0.96;0.00;350.46;DEFAULT_VEHTYPE;;8;291.00
